title,link,summary,image_url,publication_time,category,url_source,scraped_at
"Harga Emas Hari Ini: Update Antam, Pegadaian, UBS, Galeri24 dan Proyeksi Global Terkini",https://www.liputan6.com/bisnis/read/6153261/harga-emas-hari-ini-update-antam-pegadaian-ubs-galeri24-dan-proyeksi-global-terkini,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 14:38,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
"Medco Power Tajak Sumur Perdana di Proyek Bonjol, Sumatera Barat",https://www.liputan6.com/bisnis/read/6158426/medco-power-tajak-sumur-perdana-di-proyek-bonjol-sumatera-barat,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 14:22,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
"Harga Emas Perhiasan Hari Ini 13 September 2025, Cek Rinciannya",https://www.liputan6.com/bisnis/read/6158399/harga-emas-perhiasan-hari-ini-13-september-2025-cek-rinciannya,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 13:21,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
Menkeu Purbaya Tetapkan Tenor dan Bunga untuk Rp 200 Triliun Uang Negara di 5 Bank,https://www.liputan6.com/bisnis/read/6158370/menkeu-purbaya-tetapkan-tenor-dan-bunga-untuk-rp-200-triliun-uang-negara-di-5-bank,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 12:31,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
PLN Pulihkan Listrik Setelah Banjir di Bali,https://www.liputan6.com/bisnis/read/6158328/pln-pulihkan-listrik-setelah-banjir-di-bali,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 11:24,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
Penjelasan Manajemen BCA Terkait Isu Dugaan RDN Investasi Dibobol,https://www.liputan6.com/bisnis/read/6158316/penjelasan-manajemen-bca-terkait-isu-dugaan-rdn-investasi-dibobol,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 11:08,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
Harga Emas Pegadaian Hari Ini 13 September 2025: Antam dan Galeri24 Kompak Merosot,https://www.liputan6.com/bisnis/read/6158275/harga-emas-pegadaian-hari-ini-13-september-2025-antam-dan-galeri24-kompak-merosot,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 10:12,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
"Harga Emas Antam Hari Ini 13 September 2025 Lebih Mahal Rp 7.000, Simak Rinciannya",https://www.liputan6.com/bisnis/read/6158259/harga-emas-antam-hari-ini-13-september-2025-lebih-mahal-rp-7000-simak-rinciannya,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 09:43,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
"Harga Minyak Melesat, Kekhawatiran Permintaan AS Jadi Beban",https://www.liputan6.com/bisnis/read/6158234/harga-minyak-melesat-kekhawatiran-permintaan-as-jadi-beban,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 08:49,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
Bandara Supadio Pontianak Buka Rute Internasional Perdana ke Malaysia,https://www.liputan6.com/bisnis/read/6158222/bandara-supadio-pontianak-buka-rute-internasional-perdana-ke-malaysia,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,13 Sep 2025 08:18,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.418206
